symbol,config,is_start,is_end,oos_start,oos_end,is_trades,is_win_rate,is_avg_win,is_avg_loss,is_profit_factor,is_net_pnl,is_max_drawdown_pct,is_avg_hold_bars,oos_trades,oos_win_rate,oos_avg_win,oos_avg_loss,oos_profit_factor,oos_net_pnl,oos_max_drawdown_pct,oos_avg_hold_bars,wfe,wfe_label,symbol_score,robustness_label,regime_sensitive,recommendation
NVDA,3m_train_1m_test,2026-04-02,2026-05-01,2026-05-04,2026-05-15,4,25.0,21.07,-47.73,0.15,-122.12,1.22,12.8,1,100.0,176.76,0.0,inf,176.76,0.0,6.0,0.0,unprofitable,69.0,robust,False,TRADE — consistent PF and sufficient trade volume
NVDA,6m_train_1m_test,2026-03-24,2026-05-01,2026-05-04,2026-05-15,4,25.0,21.07,-47.73,0.15,-122.12,1.22,12.8,1,100.0,176.76,0.0,inf,176.76,0.0,6.0,0.0,unprofitable,69.0,robust,False,TRADE — consistent PF and sufficient trade volume
NVDA,12m_train_1m_test,2026-03-18,2026-05-04,2026-05-05,2026-05-15,4,25.0,21.07,-47.73,0.15,-122.12,1.22,12.8,1,100.0,176.76,0.0,inf,176.76,0.0,6.0,0.0,unprofitable,69.0,robust,False,TRADE — consistent PF and sufficient trade volume
TSLA,3m_train_1m_test,2026-04-02,2026-05-01,2026-05-04,2026-05-15,3,33.33,84.67,-67.02,0.63,-49.36,1.33,10.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprofitable,0.0,insufficient_data,False,
TSLA,6m_train_1m_test,2026-03-24,2026-05-01,2026-05-04,2026-05-15,3,33.33,84.67,-67.02,0.63,-49.36,1.33,10.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprofitable,0.0,insufficient_data,False,
TSLA,12m_train_1m_test,2026-03-18,2026-05-04,2026-05-05,2026-05-15,3,33.33,84.67,-67.02,0.63,-49.36,1.33,10.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprofitable,0.0,insufficient_data,False,
AAPL,3m_train_1m_test,2026-04-02,2026-05-01,2026-05-04,2026-05-15,5,40.0,43.42,-22.54,1.28,19.23,0.43,9.6,4,75.0,29.14,-24.28,3.6,63.13,0.24,18.2,3.283,robust,100.0,robust,False,TRADE — consistent PF and sufficient trade volume
AAPL,6m_train_1m_test,2026-03-24,2026-05-01,2026-05-04,2026-05-15,7,42.86,46.91,-22.03,1.6,52.62,0.43,15.9,4,75.0,29.14,-24.28,3.6,63.13,0.24,18.2,1.2,robust,100.0,robust,False,TRADE — consistent PF and sufficient trade volume
AAPL,12m_train_1m_test,2026-03-18,2026-05-04,2026-05-05,2026-05-15,8,37.5,46.91,-22.23,1.27,29.57,0.44,14.0,4,75.0,29.14,-24.28,3.6,63.13,0.24,18.2,2.135,robust,100.0,robust,False,TRADE — consistent PF and sufficient trade volume
SPY,3m_train_1m_test,2026-04-02,2026-05-01,2026-05-04,2026-05-15,5,20.0,58.99,-10.99,1.34,15.02,0.44,12.6,1,100.0,4.51,0.0,inf,4.51,0.0,56.0,0.3,marginal,73.4,marginal,False,MONITOR — marginal PF; increase sample before live
SPY,6m_train_1m_test,2026-03-24,2026-05-01,2026-05-04,2026-05-15,8,37.5,54.26,-16.46,1.98,80.5,0.43,15.2,1,100.0,4.51,0.0,inf,4.51,0.0,56.0,0.056,overfit,73.4,marginal,False,MONITOR — marginal PF; increase sample before live
SPY,12m_train_1m_test,2026-03-18,2026-05-04,2026-05-05,2026-05-15,10,40.0,41.82,-19.32,1.44,51.39,0.72,21.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_oos_trades,73.4,marginal,False,MONITOR — marginal PF; increase sample before live
